,time_min,cgm,insulin_U,meal_g
0,0.0,122.564,0.0203965,0.0
1,1.0,123.096,0.0203965,0.0
2,2.0,123.62,0.0203965,0.0
3,3.0,124.134,0.0203965,0.0
4,4.0,124.638,0.0203965,0.0
5,5.0,125.132,0.0203965,0.0
6,6.0,125.608,0.0203965,0.0
7,7.0,126.055,0.0203965,0.0
8,8.0,126.478,0.0203965,0.0
9,9.0,126.878,0.0203965,0.0
10,10.0,127.258,0.0203965,0.0
11,11.0,127.619,0.0203965,0.0
12,12.0,127.964,0.0203965,0.0
13,13.0,128.292,0.0203965,0.0
14,14.0,128.605,0.0203965,0.0
15,15.0,128.362,0.0203965,0.0
16,16.0,128.119,0.0203965,0.0
17,17.0,127.876,0.0203965,0.0
18,18.0,127.635,0.0203965,0.0
19,19.0,127.394,0.0203965,0.0
20,20.0,127.156,0.0203965,0.0
21,21.0,126.92,0.0203965,0.0
22,22.0,126.687,0.0203965,0.0
23,23.0,126.457,0.0203965,0.0
24,24.0,126.231,0.0203965,0.0
25,25.0,126.008,0.0203965,0.0
26,26.0,125.789,0.0203965,0.0
27,27.0,125.573,0.0203965,0.0
28,28.0,125.362,0.0203965,0.0
29,29.0,125.156,0.0203965,0.0
30,30.0,124.954,0.0203965,0.0
31,31.000000000000004,124.709,0.0203965,0.0
32,32.0,124.422,0.0203965,0.0
33,33.0,124.092,0.0203965,0.0
34,34.0,123.721,0.0203965,0.0
35,35.0,123.307,0.0203965,0.0
36,36.0,122.851,0.0203965,0.0
37,37.0,122.353,0.0203965,0.0
38,38.0,121.813,0.0203965,0.0
39,39.0,121.232,0.0203965,0.0
40,40.0,120.609,0.0203965,0.0
41,41.0,119.943,0.0203965,0.0
42,42.0,119.237,0.0203965,0.0
43,43.0,118.488,0.0203965,0.0
44,44.0,117.698,0.0203965,0.0
45,45.0,116.866,0.0203965,0.0
46,46.0,116.144,0.0203965,0.0
47,47.0,115.531,0.0203965,0.0
48,48.0,115.027,0.0203965,0.0
49,49.0,114.632,0.0203965,0.0
50,50.0,114.347,0.0203965,0.0
51,51.0,114.171,0.0203965,0.0
52,52.0,114.104,0.0203965,0.0
53,53.0,114.147,0.0203965,0.0
54,54.0,114.3,0.0203965,0.0
55,55.0,114.561,0.0203965,0.0
56,56.0,114.932,0.0203965,0.0
57,57.0,115.413,0.0203965,0.0
58,58.0,116.003,0.0203965,0.0
59,59.0,116.702,0.0203965,0.0
60,60.0,117.511,0.0203965,0.0
61,61.0,118.247,0.0203965,0.0
62,62.00000000000001,118.91,0.0203965,0.0
63,63.0,119.5,0.0203965,0.0
64,64.0,120.017,0.0203965,0.0
65,65.0,120.461,0.0203965,0.0
66,66.0,120.832,0.0203965,0.0
67,67.0,121.13,0.0203965,0.0
68,68.0,121.355,0.0203965,0.0
69,69.0,121.507,0.0203965,0.0
70,70.0,121.586,0.0203965,0.0
71,71.0,121.592,0.0203965,0.0
72,72.0,121.525,0.0203965,0.0
73,73.0,121.385,0.0203965,0.0
74,74.0,121.173,0.0203965,0.0
75,75.0,120.887,0.0203965,0.0
76,76.0,120.615,0.0203965,0.0
77,77.0,120.357,0.0203965,0.0
78,78.0,120.113,0.0203965,0.0
79,79.0,119.882,0.0203965,0.0
80,80.0,119.666,0.0203965,0.0
81,81.0,119.464,0.0203965,0.0
82,82.0,119.275,0.0203965,0.0
83,83.0,119.101,0.0203965,0.0
84,84.0,118.94,0.0203965,0.0
85,85.0,118.793,0.0203965,0.0
86,86.0,118.66,0.0203965,0.0
87,87.0,118.54,0.0203965,0.0
88,88.0,118.434,0.0203965,0.0
89,89.0,118.342,0.0203965,0.0
90,90.0,118.264,0.0203965,0.0
91,91.0,118.189,0.0203965,0.0
92,92.0,118.117,0.0203965,0.0
93,93.0,118.048,0.0203965,0.0
94,94.0,117.982,0.0203965,0.0
95,95.0,117.92,0.0203965,0.0
96,96.0,117.86,0.0203965,0.0
97,97.0,117.803,0.0203965,0.0
98,98.0,117.75,0.0203965,0.0
99,99.0,117.699,0.0203965,0.0
100,100.0,117.651,0.0203965,0.0
101,101.0,117.607,0.0203965,0.0
102,102.0,117.565,0.0203965,0.0
103,103.0,117.525,0.0203965,0.0
104,104.0,117.489,0.0203965,0.0
105,105.0,117.456,0.0203965,0.0
106,106.0,117.378,0.0203965,0.0
107,107.0,117.256,0.0203965,0.0
108,108.0,117.089,0.0203965,0.0
109,109.0,116.879,0.0203965,0.0
110,110.0,116.623,0.0203965,0.0
111,111.0,116.324,0.0203965,0.0
112,112.0,115.98,0.0203965,0.0
113,113.0,115.591,0.0203965,0.0
114,114.0,115.158,0.0203965,0.0
115,115.0,114.681,0.0203965,0.0
116,116.0,114.159,0.0203965,0.0
117,117.0,113.592,0.0203965,0.0
118,118.0,112.98,0.0203965,0.0
119,119.0,112.324,0.0203965,0.0
120,120.0,111.623,0.0203965,0.0
121,121.0,110.99,0.0203965,0.0
122,122.0,110.424,0.0203965,0.0
123,122.99999999999999,109.926,0.0203965,0.0
124,124.00000000000001,109.495,0.0203965,0.0
125,125.00000000000001,109.132,0.0203965,0.0
126,126.0,108.836,0.0203965,0.0
127,127.0,108.607,0.0203965,0.0
128,128.0,108.446,0.0203965,0.0
129,129.0,108.353,0.0203965,0.0
130,130.0,108.326,0.0203965,0.0
131,131.0,108.367,0.0203965,0.0
132,132.0,108.475,0.0203965,0.0
133,133.0,108.65,0.0203965,0.0
134,134.0,108.893,0.0203965,0.0
135,135.0,109.202,0.0203965,0.0
136,136.0,109.552,0.0203965,0.0
137,137.0,109.941,0.0203965,0.0
138,138.0,110.371,0.0203965,0.0
139,139.0,110.841,0.0203965,0.0
140,140.0,111.35,0.0203965,0.0
141,141.0,111.9,0.0203965,0.0
142,142.0,112.49,0.0203965,0.0
143,143.0,113.119,0.0203965,0.0
144,144.0,113.789,0.0203965,0.0
145,145.0,114.498,0.0203965,0.0
146,146.0,115.247,0.0203965,0.0
147,147.0,116.037,0.0203965,0.0
148,148.0,116.866,0.0203965,0.0
149,149.0,117.735,0.0203965,0.0
150,150.0,118.644,0.0203965,0.0
151,151.0,119.537,0.0203965,0.0
152,152.0,120.414,0.0203965,0.0
153,153.0,121.274,0.0203965,0.0
154,154.0,122.119,0.0203965,0.0
155,155.0,122.947,0.0203965,0.0
156,156.0,123.76,0.0203965,0.0
157,157.0,124.556,0.0203965,0.0
158,158.0,125.336,0.0203965,0.0
159,159.0,126.099,0.0203965,0.0
160,160.0,126.847,0.0203965,0.0
