,time_min,cgm,insulin_total_U,insulin_basal_U,insulin_bolus_U,meal_g
0,0,122.564,0.0203965,0.0203965,0.0,0.0
1,1,123.096,0.0203965,0.0203965,0.0,0.0
2,2,123.62,0.0203965,0.0203965,0.0,0.0
3,3,124.134,0.0203965,0.0203965,0.0,0.0
4,4,124.638,0.0203965,0.0203965,0.0,0.0
5,5,125.132,0.0203965,0.0203965,0.0,0.0
6,6,125.608,0.0203965,0.0203965,0.0,0.0
7,7,126.055,0.0203965,0.0203965,0.0,0.0
8,8,126.478,0.0203965,0.0203965,0.0,0.0
9,9,126.878,0.0203965,0.0203965,0.0,0.0
10,10,127.258,0.0203965,0.0203965,0.0,0.0
11,11,127.619,0.0203965,0.0203965,0.0,0.0
12,12,127.964,0.0203965,0.0203965,0.0,0.0
13,13,128.292,0.0203965,0.0203965,0.0,0.0
14,14,128.605,0.0203965,0.0203965,0.0,0.0
15,15,128.362,0.0203965,0.0203965,0.0,0.0
16,16,128.119,0.0203965,0.0203965,0.0,0.0
17,17,127.876,0.0203965,0.0203965,0.0,0.0
18,18,127.635,0.0203965,0.0203965,0.0,0.0
19,19,127.394,0.0203965,0.0203965,0.0,0.0
20,20,127.156,0.0203965,0.0203965,0.0,0.0
21,21,126.92,0.0203965,0.0203965,0.0,0.0
22,22,126.687,0.0203965,0.0203965,0.0,0.0
23,23,126.457,0.0203965,0.0203965,0.0,0.0
24,24,126.231,0.0203965,0.0203965,0.0,0.0
25,25,126.008,0.0203965,0.0203965,0.0,0.0
26,26,125.789,0.0203965,0.0203965,0.0,0.0
27,27,125.573,0.0203965,0.0203965,0.0,0.0
28,28,125.362,0.0203965,0.0203965,0.0,0.0
29,29,125.156,0.0203965,0.0203965,0.0,0.0
30,30,124.954,0.0203965,0.0203965,0.0,0.0
31,31,124.709,0.0203965,0.0203965,0.0,0.0
32,32,124.422,0.0203965,0.0203965,0.0,0.0
33,33,124.092,0.0203965,0.0203965,0.0,0.0
34,34,123.721,0.0203965,0.0203965,0.0,0.0
35,35,123.307,0.0203965,0.0203965,0.0,0.0
36,36,122.851,0.0203965,0.0203965,0.0,0.0
37,37,122.353,0.0203965,0.0203965,0.0,0.0
38,38,121.813,0.0203965,0.0203965,0.0,0.0
39,39,121.232,0.0203965,0.0203965,0.0,0.0
40,40,120.609,0.0203965,0.0203965,0.0,0.0
41,41,119.943,0.0203965,0.0203965,0.0,0.0
42,42,119.237,0.0203965,0.0203965,0.0,0.0
43,43,118.488,0.0203965,0.0203965,0.0,0.0
44,44,117.698,0.0203965,0.0203965,0.0,0.0
45,45,116.866,0.0203965,0.0203965,0.0,0.0
46,46,116.144,0.0203965,0.0203965,0.0,0.0
47,47,115.531,0.0203965,0.0203965,0.0,0.0
48,48,115.027,0.0203965,0.0203965,0.0,0.0
49,49,114.632,0.0203965,0.0203965,0.0,0.0
50,50,114.347,0.0203965,0.0203965,0.0,0.0
51,51,114.171,0.0203965,0.0203965,0.0,0.0
52,52,114.104,0.0203965,0.0203965,0.0,0.0
53,53,114.147,0.0203965,0.0203965,0.0,0.0
54,54,114.3,0.0203965,0.0203965,0.0,0.0
55,55,114.561,0.0203965,0.0203965,0.0,0.0
56,56,114.932,0.0203965,0.0203965,0.0,0.0
57,57,115.413,0.0203965,0.0203965,0.0,0.0
58,58,116.003,0.0203965,0.0203965,0.0,0.0
59,59,116.702,0.0203965,0.0203965,0.0,0.0
60,60,117.511,0.0203965,0.0203965,0.0,0.0
61,61,118.247,0.0203965,0.0203965,0.0,0.0
62,62,118.91,0.0203965,0.0203965,0.0,0.0
63,63,119.5,0.0203965,0.0203965,0.0,0.0
64,64,120.017,0.0203965,0.0203965,0.0,0.0
65,65,120.461,0.0203965,0.0203965,0.0,0.0
66,66,120.832,0.0203965,0.0203965,0.0,0.0
67,67,121.13,0.0203965,0.0203965,0.0,0.0
68,68,121.355,0.0203965,0.0203965,0.0,0.0
69,69,121.507,0.0203965,0.0203965,0.0,0.0
70,70,121.586,0.0203965,0.0203965,0.0,0.0
71,71,121.592,0.0203965,0.0203965,0.0,0.0
72,72,121.525,0.0203965,0.0203965,0.0,0.0
73,73,121.385,0.0203965,0.0203965,0.0,0.0
74,74,121.173,0.0203965,0.0203965,0.0,0.0
75,75,120.887,0.0203965,0.0203965,0.0,0.0
76,76,120.615,0.0203965,0.0203965,0.0,0.0
77,77,120.357,0.0203965,0.0203965,0.0,0.0
78,78,120.113,0.0203965,0.0203965,0.0,0.0
79,79,119.882,0.0203965,0.0203965,0.0,0.0
80,80,119.666,0.0203965,0.0203965,0.0,0.0
81,81,119.464,0.0203965,0.0203965,0.0,0.0
82,82,119.275,0.0203965,0.0203965,0.0,0.0
83,83,119.101,0.0203965,0.0203965,0.0,0.0
84,84,118.94,0.0203965,0.0203965,0.0,0.0
85,85,118.793,0.0203965,0.0203965,0.0,0.0
86,86,118.66,0.0203965,0.0203965,0.0,0.0
87,87,118.54,0.0203965,0.0203965,0.0,0.0
88,88,118.434,0.0203965,0.0203965,0.0,0.0
89,89,118.342,0.0203965,0.0203965,0.0,0.0
90,90,118.264,0.0203965,0.0203965,0.0,0.0
91,91,118.189,0.0203965,0.0203965,0.0,0.0
